"","Index","Type.1","Type.2","Total","HP","Attack","Defense","SP..Atk.","SP..Def","Speed","NormHP","NormAttack","NormDefense","Performance","Grade"
"Pachirisu",417,"Electric","",405,60,45,70,45,90,95,0.232,0.216,0.265,0.013,"Weak"
"Buizel",418,"Water","",330,55,65,35,60,30,85,0.213,0.324,0.122,0.009,"Weak"
"Floatzel",419,"Water","",495,85,105,55,85,50,115,0.331,0.541,0.204,0.037,"Weak"
"Cherubi",420,"Grass","",275,45,35,45,62,53,35,0.173,0.162,0.163,0.005,"Weak"
"Cherrim",421,"Grass","",450,70,60,70,87,78,85,0.272,0.297,0.265,0.022,"Weak"
"Shellos",422,"Water","",325,76,48,48,57,62,34,0.295,0.232,0.176,0.012,"Weak"
"Gastrodon",423,"Water","Ground",475,111,83,68,92,82,39,0.433,0.422,0.257,0.047,"Weak"
"Ambipom",424,"Normal","",482,75,100,66,60,66,115,0.291,0.514,0.249,0.037,"Weak"
"Drifloon",425,"Ghost","Flying",348,90,50,34,60,44,70,0.35,0.243,0.118,0.01,"Weak"
"Drifblim",426,"Ghost","Flying",498,150,80,44,90,54,80,0.587,0.405,0.159,0.038,"Weak"
"Buneary",427,"Normal","",350,55,66,44,44,56,85,0.213,0.33,0.159,0.011,"Weak"
"Lopunny",428,"Normal","",480,65,76,84,54,96,105,0.252,0.384,0.322,0.031,"Weak"
"Lopunny Mega Lopunny",428,"Normal","Fighting",580,65,136,94,54,96,135,0.252,0.708,0.363,0.065,"Weak"
"Mismagius",429,"Ghost","",495,60,60,60,105,105,105,0.232,0.297,0.224,0.016,"Weak"
"Honchkrow",430,"Dark","Flying",505,100,125,52,105,52,71,0.39,0.649,0.192,0.049,"Weak"
"Glameow",431,"Normal","",310,49,55,42,42,37,85,0.189,0.27,0.151,0.008,"Weak"
"Purugly",432,"Normal","",452,71,82,64,64,59,112,0.276,0.416,0.241,0.028,"Weak"
"Chingling",433,"Psychic","",285,45,30,50,65,50,45,0.173,0.135,0.184,0.004,"Weak"
"Stunky",434,"Poison","Dark",329,63,63,47,41,41,74,0.244,0.314,0.171,0.013,"Weak"
"Skuntank",435,"Poison","Dark",479,103,93,67,71,61,84,0.402,0.476,0.253,0.049,"Weak"
"Bronzor",436,"Steel","Psychic",300,57,24,86,24,86,23,0.22,0.103,0.331,0.008,"Weak"
"Bronzong",437,"Steel","Psychic",500,67,89,116,79,116,33,0.26,0.454,0.453,0.054,"Weak"
"Bonsly",438,"Rock","",290,50,80,95,10,45,10,0.193,0.405,0.367,0.029,"Weak"
"Mime Jr.",439,"Psychic","Fairy",310,20,25,45,70,90,60,0.075,0.108,0.163,0.002,"Weak"
"Happiny",440,"Normal","",220,100,5,5,15,65,30,0.39,0,0,0,"Strong"
"Chatot",441,"Normal","Flying",411,76,65,45,92,42,91,0.295,0.324,0.163,0.016,"Weak"
"Spiritomb",442,"Ghost","Dark",485,50,92,108,92,108,35,0.193,0.47,0.42,0.038,"Weak"
"Gible",443,"Dragon","Ground",300,58,70,45,40,45,42,0.224,0.351,0.163,0.013,"Weak"
"Gabite",444,"Dragon","Ground",410,68,90,65,50,55,82,0.264,0.459,0.245,0.03,"Weak"
"Garchomp",445,"Dragon","Ground",600,108,130,95,80,85,102,0.421,0.676,0.367,0.105,"Weak"
"Garchomp Mega Garchomp",445,"Dragon","Ground",700,108,170,115,120,95,92,0.421,0.892,0.449,0.169,"Normal"
"Munchlax",446,"Normal","",390,135,85,40,40,85,5,0.528,0.432,0.143,0.033,"Weak"
"Riolu",447,"Fighting","",285,40,70,40,35,40,60,0.154,0.351,0.143,0.008,"Weak"
"Lucario",448,"Fighting","Steel",525,70,110,70,115,70,90,0.272,0.568,0.265,0.041,"Weak"
"Lucario Mega Lucario",448,"Fighting","Steel",625,70,145,88,140,70,112,0.272,0.757,0.339,0.07,"Weak"
"Hippopotas",449,"Ground","",330,68,72,78,38,42,32,0.264,0.362,0.298,0.029,"Weak"
"Hippowdon",450,"Ground","",525,108,112,118,68,72,47,0.421,0.578,0.461,0.112,"Weak"
"Skorupi",451,"Poison","Bug",330,40,50,90,30,55,65,0.154,0.243,0.347,0.013,"Weak"
"Drapion",452,"Poison","Dark",500,70,90,110,60,75,95,0.272,0.459,0.429,0.054,"Weak"
"Croagunk",453,"Poison","Fighting",300,48,61,40,61,40,50,0.185,0.303,0.143,0.008,"Weak"
"Toxicroak",454,"Poison","Fighting",490,83,106,65,86,65,85,0.323,0.546,0.245,0.043,"Weak"
"Carnivine",455,"Grass","",454,74,100,72,90,72,46,0.287,0.514,0.273,0.04,"Weak"
"Finneon",456,"Water","",330,49,49,56,49,61,66,0.189,0.238,0.208,0.01,"Weak"
"Lumineon",457,"Water","",460,69,69,76,69,86,91,0.268,0.346,0.29,0.027,"Weak"
"Mantyke",458,"Water","Flying",345,45,20,50,60,120,50,0.173,0.081,0.184,0.003,"Weak"
"Snover",459,"Grass","Ice",334,60,62,50,62,60,40,0.232,0.308,0.184,0.013,"Weak"
"Abomasnow",460,"Grass","Ice",494,90,92,75,92,85,60,0.35,0.47,0.286,0.047,"Weak"
"Abomasnow Mega Abomasnow",460,"Grass","Ice",594,90,132,105,132,105,30,0.35,0.686,0.408,0.098,"Weak"
"Weavile",461,"Dark","Ice",510,70,120,65,45,85,125,0.272,0.622,0.245,0.042,"Weak"
"Magnezone",462,"Electric","Steel",535,70,70,115,130,90,60,0.272,0.351,0.449,0.043,"Weak"
"Lickilicky",463,"Normal","",515,110,85,95,80,95,50,0.429,0.432,0.367,0.068,"Weak"
"Rhyperior",464,"Ground","Rock",535,115,140,130,55,55,40,0.449,0.73,0.51,0.167,"Normal"
"Tangrowth",465,"Grass","",535,100,100,125,110,50,50,0.39,0.514,0.49,0.098,"Weak"
"Electivire",466,"Electric","",540,75,123,67,95,85,95,0.291,0.638,0.253,0.047,"Weak"
"Magmortar",467,"Fire","",540,75,95,67,125,95,83,0.291,0.486,0.253,0.036,"Weak"
"Togekiss",468,"Fairy","Flying",545,85,50,95,120,115,80,0.331,0.243,0.367,0.03,"Weak"
"Yanmega",469,"Bug","Flying",515,86,76,86,116,56,95,0.335,0.384,0.331,0.043,"Weak"
"Leafeon",470,"Grass","",525,65,110,130,60,65,95,0.252,0.568,0.51,0.073,"Weak"
"Glaceon",471,"Ice","",525,65,60,110,130,95,65,0.252,0.297,0.429,0.032,"Weak"
"Gliscor",472,"Ground","Flying",510,75,95,125,45,75,95,0.291,0.486,0.49,0.069,"Weak"
"Mamoswine",473,"Ice","Ground",530,110,130,80,70,60,80,0.429,0.676,0.306,0.089,"Weak"
"Porygon-Z",474,"Normal","",535,85,80,70,135,75,90,0.331,0.405,0.265,0.036,"Weak"
"Gallade",475,"Psychic","Fighting",518,68,125,65,65,115,80,0.264,0.649,0.245,0.042,"Weak"
"Gallade Mega Gallade",475,"Psychic","Fighting",618,68,165,95,65,115,110,0.264,0.865,0.367,0.084,"Weak"
"Probopass",476,"Rock","Steel",525,60,55,145,75,150,40,0.232,0.27,0.571,0.036,"Weak"
"Dusknoir",477,"Ghost","",525,45,100,135,65,135,45,0.173,0.514,0.531,0.047,"Weak"
"Froslass",478,"Ice","Ghost",480,70,80,70,80,70,110,0.272,0.405,0.265,0.029,"Weak"
"Rotom",479,"Electric","Ghost",440,50,50,77,95,77,91,0.193,0.243,0.294,0.014,"Weak"
"Rotom Heat Rotom",479,"Electric","Fire",520,50,65,107,105,107,86,0.193,0.324,0.416,0.026,"Weak"
"Rotom Wash Rotom",479,"Electric","Water",520,50,65,107,105,107,86,0.193,0.324,0.416,0.026,"Weak"
"Rotom Frost Rotom",479,"Electric","Ice",520,50,65,107,105,107,86,0.193,0.324,0.416,0.026,"Weak"
"Rotom Fan Rotom",479,"Electric","Flying",520,50,65,107,105,107,86,0.193,0.324,0.416,0.026,"Weak"
"Rotom Mow Rotom",479,"Electric","Grass",520,50,65,107,105,107,86,0.193,0.324,0.416,0.026,"Weak"
"Uxie",480,"Psychic","",580,75,75,130,75,130,95,0.291,0.378,0.51,0.056,"Weak"
"Mesprit",481,"Psychic","",580,80,105,105,105,105,80,0.311,0.541,0.408,0.069,"Weak"
"Azelf",482,"Psychic","",580,75,125,70,125,70,115,0.291,0.649,0.265,0.05,"Weak"
"Dialga",483,"Steel","Dragon",680,100,120,120,150,100,90,0.39,0.622,0.469,0.114,"Weak"
"Dialga Origin Forme",483,"Steel","Dragon",680,100,100,120,150,120,90,0.39,0.514,0.469,0.094,"Weak"
"Palkia",484,"Water","Dragon",680,90,120,100,150,120,100,0.35,0.622,0.388,0.085,"Weak"
"Palkia Origin Forme",484,"Water","Dragon",680,90,100,100,150,120,120,0.35,0.514,0.388,0.07,"Weak"
"Heatran",485,"Fire","Steel",600,91,90,106,130,106,77,0.354,0.459,0.412,0.067,"Weak"
"Regigigas",486,"Normal","",670,110,160,110,80,110,100,0.429,0.838,0.429,0.154,"Normal"
"Giratina Altered Forme",487,"Ghost","Dragon",680,150,100,120,100,120,90,0.587,0.514,0.469,0.142,"Weak"
"Giratina Origin Forme",487,"Ghost","Dragon",680,150,120,100,120,100,90,0.587,0.622,0.388,0.142,"Weak"
"Cresselia",488,"Psychic","",580,120,70,110,75,120,85,0.469,0.351,0.429,0.071,"Weak"
"Phione",489,"Water","",480,80,80,80,80,80,80,0.311,0.405,0.306,0.039,"Weak"
"Manaphy",490,"Water","",600,100,100,100,100,100,100,0.39,0.514,0.388,0.078,"Weak"
"Darkrai",491,"Dark","",600,70,90,90,135,90,125,0.272,0.459,0.347,0.044,"Weak"
"Shaymin Land Forme",492,"Grass","",600,100,100,100,100,100,100,0.39,0.514,0.388,0.078,"Weak"
"Shaymin Sky Forme",492,"Grass","Flying",600,100,103,75,120,75,127,0.39,0.53,0.286,0.059,"Weak"
"Arceus",493,"Normal","",720,120,120,120,120,120,120,0.469,0.622,0.469,0.137,"Weak"
"Victini",494,"Psychic","Fire",600,100,100,100,100,100,100,0.39,0.514,0.388,0.078,"Weak"
"Snivy",495,"Grass","",308,45,45,55,45,55,63,0.173,0.216,0.204,0.008,"Weak"
"Servine",496,"Grass","",413,60,60,75,60,75,83,0.232,0.297,0.286,0.02,"Weak"
"Serperior",497,"Grass","",528,75,75,95,75,95,113,0.291,0.378,0.367,0.041,"Weak"
"Tepig",498,"Fire","",308,65,63,45,45,45,45,0.252,0.314,0.163,0.013,"Weak"
"Pignite",499,"Fire","Fighting",418,90,93,55,70,55,55,0.35,0.476,0.204,0.034,"Weak"
"Emboar",500,"Fire","Fighting",528,110,123,65,100,65,65,0.429,0.638,0.245,0.067,"Weak"
"Oshawott",501,"Water","",308,55,55,45,63,45,45,0.213,0.27,0.163,0.01,"Weak"
"Dewott",502,"Water","",413,75,75,60,83,60,60,0.291,0.378,0.224,0.025,"Weak"
"Samurott",503,"Water","",528,95,100,85,108,70,70,0.37,0.514,0.327,0.062,"Weak"
"Samurott Hisuian Samurott",503,"Water","Dark",528,90,108,80,100,65,85,0.35,0.557,0.306,0.06,"Weak"
"Patrat",504,"Normal","",255,45,55,39,35,39,42,0.173,0.27,0.139,0.007,"Weak"
"Watchog",505,"Normal","",420,60,85,69,60,69,77,0.232,0.432,0.261,0.026,"Weak"
"Lillipup",506,"Normal","",275,45,60,45,25,45,55,0.173,0.297,0.163,0.009,"Weak"
"Herdier",507,"Normal","",370,65,80,65,35,65,60,0.252,0.405,0.245,0.025,"Weak"
"Stoutland",508,"Normal","",500,85,110,90,45,90,80,0.331,0.568,0.347,0.065,"Weak"
"Purrloin",509,"Dark","",281,41,50,37,50,37,66,0.157,0.243,0.131,0.005,"Weak"
"Liepard",510,"Dark","",446,64,88,50,88,50,106,0.248,0.449,0.184,0.021,"Weak"
"Pansage",511,"Grass","",316,50,53,48,53,48,64,0.193,0.259,0.176,0.009,"Weak"
"Simisage",512,"Grass","",498,75,98,63,98,63,101,0.291,0.503,0.237,0.035,"Weak"
"Pansear",513,"Fire","",316,50,53,48,53,48,64,0.193,0.259,0.176,0.009,"Weak"
"Simisear",514,"Fire","",498,75,98,63,98,63,101,0.291,0.503,0.237,0.035,"Weak"
"Panpour",515,"Water","",316,50,53,48,53,48,64,0.193,0.259,0.176,0.009,"Weak"
"Simipour",516,"Water","",498,75,98,63,98,63,101,0.291,0.503,0.237,0.035,"Weak"
"Munna",517,"Psychic","",292,76,25,45,67,55,24,0.295,0.108,0.163,0.005,"Weak"
"Musharna",518,"Psychic","",487,116,55,85,107,95,29,0.453,0.27,0.327,0.04,"Weak"
"Pidove",519,"Normal","Flying",264,50,55,50,36,30,43,0.193,0.27,0.184,0.01,"Weak"
"Tranquill",520,"Normal","Flying",358,62,77,62,50,42,65,0.24,0.389,0.233,0.022,"Weak"
"Unfezant",521,"Normal","Flying",488,80,115,80,65,55,93,0.311,0.595,0.306,0.057,"Weak"
"Blitzle",522,"Electric","",295,45,60,32,50,32,76,0.173,0.297,0.11,0.006,"Weak"
"Zebstrika",523,"Electric","",497,75,100,63,80,63,116,0.291,0.514,0.237,0.036,"Weak"
"Roggenrola",524,"Rock","",280,55,75,85,25,25,15,0.213,0.378,0.327,0.027,"Weak"
"Boldore",525,"Rock","",390,70,105,105,50,40,20,0.272,0.541,0.408,0.06,"Weak"
"Gigalith",526,"Rock","",515,85,135,130,60,80,25,0.331,0.703,0.51,0.119,"Weak"
"Woobat",527,"Psychic","Flying",323,65,45,43,55,43,72,0.252,0.216,0.155,0.009,"Weak"
"Swoobat",528,"Psychic","Flying",425,67,57,55,77,55,114,0.26,0.281,0.204,0.015,"Weak"
"Drilbur",529,"Ground","",328,60,85,40,30,45,68,0.232,0.432,0.143,0.015,"Weak"
"Excadrill",530,"Ground","Steel",508,110,135,60,50,65,88,0.429,0.703,0.224,0.068,"Weak"
"Audino",531,"Normal","",445,103,60,86,60,86,50,0.402,0.297,0.331,0.04,"Weak"
"Audino Mega Audino",531,"Normal","Fairy",545,103,60,126,80,126,50,0.402,0.297,0.494,0.059,"Weak"
"Timburr",532,"Fighting","",305,75,80,55,25,35,35,0.291,0.405,0.204,0.024,"Weak"
"Gurdurr",533,"Fighting","",405,85,105,85,40,50,40,0.331,0.541,0.327,0.059,"Weak"
"Conkeldurr",534,"Fighting","",505,105,140,95,55,65,45,0.409,0.73,0.367,0.11,"Weak"
"Tympole",535,"Water","",294,50,50,40,50,40,64,0.193,0.243,0.143,0.007,"Weak"
"Palpitoad",536,"Water","Ground",384,75,65,55,65,55,69,0.291,0.324,0.204,0.019,"Weak"
"Seismitoad",537,"Water","Ground",509,105,95,75,85,75,74,0.409,0.486,0.286,0.057,"Weak"
"Throh",538,"Fighting","",465,120,100,85,30,85,45,0.469,0.514,0.327,0.079,"Weak"
"Sawk",539,"Fighting","",465,75,125,75,30,75,85,0.291,0.649,0.286,0.054,"Weak"
"Sewaddle",540,"Bug","Grass",310,45,53,70,40,60,42,0.173,0.259,0.265,0.012,"Weak"
"Swadloon",541,"Bug","Grass",380,55,63,90,50,80,42,0.213,0.314,0.347,0.023,"Weak"
"Leavanny",542,"Bug","Grass",500,75,103,80,70,80,92,0.291,0.53,0.306,0.047,"Weak"
"Venipede",543,"Bug","Poison",260,30,45,59,30,39,57,0.114,0.216,0.22,0.006,"Weak"
"Whirlipede",544,"Bug","Poison",360,40,55,99,40,79,47,0.154,0.27,0.384,0.016,"Weak"
"Scolipede",545,"Bug","Poison",485,60,100,89,55,69,112,0.232,0.514,0.343,0.041,"Weak"
"Cottonee",546,"Grass","Fairy",280,40,27,60,37,50,66,0.154,0.119,0.224,0.004,"Weak"
"Whimsicott",547,"Grass","Fairy",480,60,67,85,77,75,116,0.232,0.335,0.327,0.026,"Weak"
"Petilil",548,"Grass","",280,45,35,50,70,50,30,0.173,0.162,0.184,0.005,"Weak"
"Lilligant",549,"Grass","",480,70,60,75,110,75,90,0.272,0.297,0.286,0.023,"Weak"
"Lilligant Hisuian Lilligant",549,"Grass","Fighting",480,70,105,75,50,75,105,0.272,0.541,0.286,0.042,"Weak"
"Basculin Red-Striped Form",550,"Water","",460,70,92,65,80,55,98,0.272,0.47,0.245,0.032,"Weak"
"Basculin Blue-Striped Form",550,"Water","",460,70,92,65,80,55,98,0.272,0.47,0.245,0.032,"Weak"
"Basculin White-Striped Form",550,"Water","",460,70,92,65,80,55,98,0.272,0.47,0.245,0.032,"Weak"
"Sandile",551,"Ground","Dark",292,50,72,35,35,35,65,0.193,0.362,0.122,0.009,"Weak"
"Krokorok",552,"Ground","Dark",351,60,82,45,45,45,74,0.232,0.416,0.163,0.016,"Weak"
"Krookodile",553,"Ground","Dark",519,95,117,80,65,70,92,0.37,0.605,0.306,0.069,"Weak"
"Darumaka",554,"Fire","",315,70,90,45,15,45,50,0.272,0.459,0.163,0.021,"Weak"
"Darumaka Galarian Darumaka",554,"Ice","",315,70,90,45,15,45,50,0.272,0.459,0.163,0.021,"Weak"
"Darmanitan Standard Mode",555,"Fire","",480,105,140,55,30,55,95,0.409,0.73,0.204,0.061,"Weak"
"Darmanitan Zen Mode",555,"Fire","Psychic",540,105,30,105,140,105,55,0.409,0.135,0.408,0.023,"Weak"
"Darmanitan Galarian Standard Mode",555,"Ice","",480,105,140,55,30,55,95,0.409,0.73,0.204,0.061,"Weak"
"Darmanitan Galarian Zen Mode",555,"Ice","Fire",540,105,160,55,30,55,135,0.409,0.838,0.204,0.07,"Weak"
"Maractus",556,"Grass","",461,75,86,67,106,67,60,0.291,0.438,0.253,0.032,"Weak"
"Dwebble",557,"Bug","Rock",325,50,65,85,35,35,55,0.193,0.324,0.327,0.021,"Weak"
"Crustle",558,"Bug","Rock",485,70,105,125,65,75,45,0.272,0.541,0.49,0.072,"Weak"
"Scraggy",559,"Dark","Fighting",348,50,75,70,35,70,48,0.193,0.378,0.265,0.02,"Weak"
"Scrafty",560,"Dark","Fighting",488,65,90,115,45,115,58,0.252,0.459,0.449,0.052,"Weak"
"Sigilyph",561,"Psychic","Flying",490,72,58,80,103,80,97,0.28,0.286,0.306,0.025,"Weak"
"Yamask",562,"Ghost","",303,38,30,85,55,65,30,0.146,0.135,0.327,0.007,"Weak"
"Yamask Galarian Yamask",562,"Ground","Ghost",303,38,55,85,30,65,30,0.146,0.27,0.327,0.013,"Weak"
"Cofagrigus",563,"Ghost","",483,58,50,145,95,105,30,0.224,0.243,0.571,0.031,"Weak"
"Tirtouga",564,"Water","Rock",355,54,78,103,53,45,22,0.209,0.395,0.4,0.033,"Weak"
"Carracosta",565,"Water","Rock",495,74,108,133,83,65,32,0.287,0.557,0.522,0.084,"Weak"
"Archen",566,"Rock","Flying",401,55,112,45,74,45,70,0.213,0.578,0.163,0.02,"Weak"
"Archeops",567,"Rock","Flying",567,75,140,65,112,65,110,0.291,0.73,0.245,0.052,"Weak"
"Trubbish",568,"Poison","",329,50,50,62,40,62,65,0.193,0.243,0.233,0.011,"Weak"
"Garbodor",569,"Poison","",474,80,95,82,60,82,75,0.311,0.486,0.314,0.048,"Weak"
"Zorua",570,"Dark","",330,40,65,40,80,40,65,0.154,0.324,0.143,0.007,"Weak"
"Zorua Hisuian Zorua",570,"Normal","Ghost",330,35,60,40,85,40,70,0.134,0.297,0.143,0.006,"Weak"
"Zoroark",571,"Dark","",510,60,105,60,120,60,105,0.232,0.541,0.224,0.028,"Weak"
"Zoroark Hisuian Zoroark",571,"Normal","Ghost",510,55,100,60,125,60,110,0.213,0.514,0.224,0.025,"Weak"
"Minccino",572,"Normal","",300,55,50,40,40,40,75,0.213,0.243,0.143,0.008,"Weak"
"Cinccino",573,"Normal","",470,75,95,60,65,60,115,0.291,0.486,0.224,0.032,"Weak"
"Gothita",574,"Psychic","",290,45,30,50,55,65,45,0.173,0.135,0.184,0.004,"Weak"
"Gothorita",575,"Psychic","",390,60,45,70,75,85,55,0.232,0.216,0.265,0.013,"Weak"
"Gothitelle",576,"Psychic","",490,70,55,95,95,110,65,0.272,0.27,0.367,0.027,"Weak"
"Solosis",577,"Psychic","",290,45,30,40,105,50,20,0.173,0.135,0.143,0.004,"Weak"
"Duosion",578,"Psychic","",370,65,40,50,125,60,30,0.252,0.189,0.184,0.009,"Weak"
"Reuniclus",579,"Psychic","",490,110,65,75,125,85,30,0.429,0.324,0.286,0.04,"Weak"
"Ducklett",580,"Water","Flying",305,62,44,50,44,50,55,0.24,0.211,0.184,0.01,"Weak"
"Swanna",581,"Water","Flying",473,75,87,63,87,63,98,0.291,0.443,0.237,0.031,"Weak"
"Vanillite",582,"Ice","",305,36,50,50,65,60,44,0.138,0.243,0.184,0.006,"Weak"
"Vanillish",583,"Ice","",395,51,65,65,80,75,59,0.197,0.324,0.245,0.016,"Weak"
"Vanilluxe",584,"Ice","",535,71,95,85,110,95,79,0.276,0.486,0.327,0.044,"Weak"
"Deerling",585,"Normal","Grass",335,60,60,50,40,50,75,0.232,0.297,0.184,0.013,"Weak"
"Sawsbuck",586,"Normal","Grass",475,80,100,70,60,70,95,0.311,0.514,0.265,0.043,"Weak"
"Emolga",587,"Electric","Flying",428,55,75,60,75,60,103,0.213,0.378,0.224,0.018,"Weak"
"Karrablast",588,"Bug","",315,50,75,45,40,45,60,0.193,0.378,0.163,0.012,"Weak"
"Escavalier",589,"Bug","Steel",495,70,135,105,60,105,20,0.272,0.703,0.408,0.078,"Weak"
"Foongus",590,"Grass","Poison",294,69,55,45,55,55,15,0.268,0.27,0.163,0.012,"Weak"
"Amoonguss",591,"Grass","Poison",464,114,85,70,85,80,30,0.445,0.432,0.265,0.051,"Weak"
"Frillish",592,"Water","Ghost",335,55,40,50,65,85,40,0.213,0.189,0.184,0.008,"Weak"
"Jellicent",593,"Water","Ghost",480,100,60,70,85,105,60,0.39,0.297,0.265,0.031,"Weak"
"Alomomola",594,"Water","",470,165,75,80,40,45,65,0.646,0.378,0.306,0.075,"Weak"
"Joltik",595,"Bug","Electric",319,50,47,50,57,50,65,0.193,0.227,0.184,0.008,"Weak"
"Galvantula",596,"Bug","Electric",472,70,77,60,97,60,108,0.272,0.389,0.224,0.024,"Weak"
"Ferroseed",597,"Grass","Steel",305,44,50,91,24,86,10,0.169,0.243,0.351,0.015,"Weak"
"Ferrothorn",598,"Grass","Steel",489,74,94,131,54,116,20,0.287,0.481,0.514,0.071,"Weak"
"Klink",599,"Steel","",300,40,55,70,45,60,30,0.154,0.27,0.265,0.011,"Weak"
"Klang",600,"Steel","",440,60,80,95,70,85,50,0.232,0.405,0.367,0.035,"Weak"
"Klinklang",601,"Steel","",520,60,100,115,70,85,90,0.232,0.514,0.449,0.054,"Weak"
"Tynamo",602,"Electric","",275,35,55,40,45,40,60,0.134,0.27,0.143,0.005,"Weak"
"Eelektrik",603,"Electric","",405,65,85,70,75,70,40,0.252,0.432,0.265,0.029,"Weak"
"Eelektross",604,"Electric","",515,85,115,80,105,80,50,0.331,0.595,0.306,0.06,"Weak"
"Elgyem",605,"Psychic","",335,55,55,55,85,55,30,0.213,0.27,0.204,0.012,"Weak"
"Beheeyem",606,"Psychic","",485,75,75,75,125,95,40,0.291,0.378,0.286,0.032,"Weak"
"Litwick",607,"Ghost","Fire",275,50,30,55,65,55,20,0.193,0.135,0.204,0.006,"Weak"
"Lampent",608,"Ghost","Fire",370,60,40,60,95,60,55,0.232,0.189,0.224,0.01,"Weak"
"Chandelure",609,"Ghost","Fire",520,60,55,90,145,90,80,0.232,0.27,0.347,0.022,"Weak"
"Axew",610,"Dragon","",320,46,87,60,30,40,57,0.177,0.443,0.224,0.018,"Weak"
"Fraxure",611,"Dragon","",410,66,117,70,40,50,67,0.256,0.605,0.265,0.041,"Weak"
"Haxorus",612,"Dragon","",540,76,147,90,60,70,97,0.295,0.768,0.347,0.079,"Weak"
"Cubchoo",613,"Ice","",305,55,70,40,60,40,40,0.213,0.351,0.143,0.011,"Weak"
"Beartic",614,"Ice","",505,95,130,80,70,80,50,0.37,0.676,0.306,0.077,"Weak"
"Cryogonal",615,"Ice","",515,80,50,50,95,135,105,0.311,0.243,0.184,0.014,"Weak"
"Shelmet",616,"Bug","",305,50,40,85,40,65,25,0.193,0.189,0.327,0.012,"Weak"
"Accelgor",617,"Bug","",495,80,70,40,100,60,145,0.311,0.351,0.143,0.016,"Weak"
"Stunfisk",618,"Ground","Electric",471,109,66,84,81,99,32,0.425,0.33,0.322,0.045,"Weak"
"Stunfisk Galarian Stunfisk",618,"Ground","Steel",471,109,81,99,66,84,32,0.425,0.411,0.384,0.067,"Weak"
"Mienfoo",619,"Fighting","",350,45,85,50,55,50,65,0.173,0.432,0.184,0.014,"Weak"
"Mienshao",620,"Fighting","",510,65,125,60,95,60,105,0.252,0.649,0.224,0.037,"Weak"
"Druddigon",621,"Dragon","",485,77,120,90,60,90,48,0.299,0.622,0.347,0.065,"Weak"
"Golett",622,"Ground","Ghost",303,59,74,50,35,50,35,0.228,0.373,0.184,0.016,"Weak"
"Golurk",623,"Ground","Ghost",483,89,124,80,55,80,55,0.346,0.643,0.306,0.068,"Weak"
"Pawniard",624,"Dark","Steel",340,45,85,70,40,40,60,0.173,0.432,0.265,0.02,"Weak"
"Bisharp",625,"Dark","Steel",490,65,125,100,60,70,70,0.252,0.649,0.388,0.064,"Weak"
"Bouffalant",626,"Normal","",490,95,110,95,40,95,55,0.37,0.568,0.367,0.077,"Weak"
"Rufflet",627,"Normal","Flying",350,70,83,50,37,50,60,0.272,0.422,0.184,0.021,"Weak"
"Braviary",628,"Normal","Flying",510,100,123,75,57,75,80,0.39,0.638,0.286,0.071,"Weak"
"Braviary Hisuian Braviary",628,"Psychic","Flying",510,110,83,70,112,70,65,0.429,0.422,0.265,0.048,"Weak"
"Vullaby",629,"Dark","Flying",370,70,55,75,45,65,60,0.272,0.27,0.286,0.021,"Weak"
"Mandibuzz",630,"Dark","Flying",510,110,65,105,55,95,80,0.429,0.324,0.408,0.057,"Weak"
"Heatmor",631,"Fire","",484,85,97,66,105,66,65,0.331,0.497,0.249,0.041,"Weak"
"Durant",632,"Bug","Steel",484,58,109,112,48,48,109,0.224,0.562,0.437,0.055,"Weak"
"Deino",633,"Dark","Dragon",300,52,65,50,45,50,38,0.201,0.324,0.184,0.012,"Weak"
"Zweilous",634,"Dark","Dragon",420,72,85,70,65,70,58,0.28,0.432,0.265,0.032,"Weak"
"Hydreigon",635,"Dark","Dragon",600,92,105,90,125,90,98,0.358,0.541,0.347,0.067,"Weak"
"Larvesta",636,"Bug","Fire",360,55,85,55,50,55,60,0.213,0.432,0.204,0.019,"Weak"
"Volcarona",637,"Bug","Fire",550,85,60,65,135,105,100,0.331,0.297,0.245,0.024,"Weak"
"Cobalion",638,"Steel","Fighting",580,91,90,129,90,72,108,0.354,0.459,0.506,0.082,"Weak"
"Terrakion",639,"Rock","Fighting",580,91,129,90,72,90,108,0.354,0.67,0.347,0.083,"Weak"
"Virizion",640,"Grass","Fighting",580,91,90,72,90,129,108,0.354,0.459,0.273,0.045,"Weak"
"Tornadus Incarnate Forme",641,"Flying","",580,79,115,70,125,80,111,0.307,0.595,0.265,0.049,"Weak"
"Tornadus Therian Forme",641,"Flying","",580,79,100,80,110,90,121,0.307,0.514,0.306,0.048,"Weak"
"Thundurus Incarnate Forme",642,"Electric","Flying",580,79,115,70,125,80,111,0.307,0.595,0.265,0.049,"Weak"
"Thundurus Therian Forme",642,"Electric","Flying",580,79,105,70,145,80,101,0.307,0.541,0.265,0.044,"Weak"
"Reshiram",643,"Dragon","Fire",680,100,120,100,150,120,90,0.39,0.622,0.388,0.094,"Weak"
"Zekrom",644,"Dragon","Electric",680,100,150,120,120,100,90,0.39,0.784,0.469,0.144,"Weak"
"Landorus Incarnate Forme",645,"Ground","Flying",600,89,125,90,115,80,101,0.346,0.649,0.347,0.078,"Weak"
